iter	Logloss	Accuracy
522	0.1879221381	0.9382660009
523	0.1877893208	0.9382660009
524	0.1876024853	0.9382660009
525	0.1874394992	0.9382660009
526	0.1872957111	0.9382660009
527	0.1870142931	0.9382660009
528	0.1869017968	0.9382660009
529	0.1865863754	0.9396277803
530	0.1864553938	0.9396277803
531	0.1864537872	0.9396277803
532	0.1862664672	0.9396277803
533	0.1860773641	0.9396277803
534	0.1859526409	0.9396277803
535	0.1857193211	0.9396277803
536	0.1854039777	0.9396277803
537	0.1852757477	0.9396277803
538	0.1850901344	0.9400817068
539	0.1849995463	0.9400817068
540	0.1848493881	0.9400817068
541	0.184457572	0.9409895597
542	0.1843212368	0.9409895597
543	0.1840848133	0.9400817068
544	0.1839767617	0.9400817068
545	0.1837848851	0.9405356332
546	0.1836202666	0.9400817068
547	0.1836098924	0.9400817068
548	0.183506056	0.9400817068
549	0.1833744973	0.9409895597
550	0.1830977626	0.9414434862
551	0.1830877357	0.9414434862
552	0.1829613394	0.9414434862
553	0.1827058441	0.9414434862
554	0.1826405765	0.9414434862
555	0.1823639908	0.9414434862
556	0.1822492095	0.9418974126
557	0.1820677833	0.9423513391
558	0.1819569922	0.9423513391
559	0.1817446181	0.9423513391
560	0.1816687647	0.9423513391
561	0.1813747029	0.9423513391
562	0.1811726138	0.9423513391
563	0.1810005224	0.9423513391
564	0.1806333586	0.9423513391
565	0.1803861899	0.9423513391
566	0.1800600082	0.9428052655
567	0.179912913	0.9428052655
568	0.1797490786	0.9423513391
569	0.17939883	0.9423513391
570	0.1793263211	0.9423513391
571	0.1791795125	0.9423513391
572	0.1788324638	0.9423513391
573	0.1786334954	0.9428052655
574	0.1783506061	0.9428052655
575	0.17823254	0.9428052655
576	0.1782234778	0.9428052655
577	0.1779416904	0.9428052655
578	0.1777335119	0.9428052655
579	0.1774575919	0.943259192
580	0.1773582055	0.943259192
581	0.1772430731	0.9437131185
582	0.1771574439	0.9437131185
583	0.17682737	0.943259192
584	0.1766707267	0.9437131185
585	0.1764896091	0.9437131185
586	0.1763470919	0.9441670449
587	0.1760833077	0.9441670449
588	0.1759623251	0.9441670449
589	0.1758858518	0.9441670449
590	0.1757990026	0.9441670449
591	0.1756034973	0.9441670449
592	0.1753460271	0.9450748979
593	0.1750851755	0.9459827508
594	0.1749023169	0.9459827508
595	0.1747160479	0.9459827508
596	0.1746656387	0.9464366773
597	0.174541257	0.9464366773
598	0.1743622541	0.9464366773
599	0.1742739274	0.9464366773
600	0.1739374795	0.9464366773
601	0.1737725614	0.9468906037
602	0.1735838006	0.9468906037
603	0.1732730889	0.9477984567
604	0.1731029923	0.9477984567
605	0.1729077808	0.9477984567
606	0.1727184331	0.9477984567
607	0.1725576859	0.9477984567
608	0.1724064896	0.9477984567
609	0.1722321966	0.9477984567
610	0.1720088417	0.9473445302
611	0.1717629303	0.9477984567
612	0.1715602014	0.9482523831
613	0.1714808899	0.9477984567
614	0.1712531096	0.9477984567
615	0.1709272734	0.9482523831
616	0.1708505957	0.9482523831
617	0.1706752742	0.9477984567
618	0.1703632094	0.9473445302
619	0.1700555932	0.9473445302
620	0.1698885772	0.9473445302
621	0.1697280971	0.9473445302
622	0.169626459	0.9477984567
623	0.16952665	0.9477984567
624	0.1693934929	0.9477984567
625	0.1692668919	0.9468906037
626	0.1691760098	0.9468906037
627	0.1691304348	0.9473445302
628	0.1690501205	0.9477984567
629	0.1689161756	0.9477984567
630	0.1687962097	0.9468906037
631	0.1686594989	0.9468906037
632	0.1684235262	0.9468906037
633	0.1681814699	0.9468906037
634	0.168025348	0.9468906037
635	0.1679286981	0.9468906037
636	0.1677895972	0.9464366773
637	0.1675346211	0.9464366773
638	0.1673533426	0.9473445302
639	0.1671785336	0.9473445302
640	0.1670952728	0.9473445302
641	0.1669678888	0.9473445302
642	0.1668137552	0.9473445302
643	0.1665660599	0.9473445302
644	0.1663387847	0.9473445302
645	0.1662365373	0.9473445302
646	0.1659993624	0.9473445302
647	0.1659233509	0.9473445302
648	0.1658379923	0.9473445302
649	0.1657017178	0.9473445302
650	0.1654797007	0.9477984567
651	0.1653128111	0.9477984567
652	0.1651392103	0.9477984567
653	0.164962933	0.9477984567
654	0.1648390625	0.9477984567
655	0.1645911817	0.9477984567
656	0.1643925243	0.9477984567
657	0.1643098645	0.9477984567
658	0.1641717773	0.9482523831
659	0.1640129013	0.9482523831
660	0.1637005904	0.9482523831
661	0.1635441706	0.9482523831
662	0.1632506939	0.9482523831
663	0.1628915104	0.9482523831
664	0.1628694044	0.9482523831
665	0.1627523954	0.9482523831
666	0.1625614969	0.9482523831
667	0.1624329457	0.9482523831
668	0.1624115371	0.9482523831
669	0.1621696492	0.9482523831
670	0.161999969	0.9482523831
671	0.161773407	0.949160236
672	0.1616847761	0.949160236
673	0.1615856252	0.949160236
674	0.1614360259	0.949160236
675	0.1612876134	0.949160236
676	0.1610909829	0.949160236
677	0.1610856955	0.949160236
678	0.1609090392	0.949160236
679	0.1607980383	0.949160236
680	0.1607306143	0.949160236
681	0.1605397688	0.950068089
682	0.1603829468	0.950068089
683	0.1601773398	0.9514298684
684	0.1599956725	0.9514298684
685	0.1596338404	0.9514298684
686	0.1594521915	0.9523377213
687	0.1593160817	0.9523377213
688	0.1590409578	0.9523377213
689	0.1590202434	0.9523377213
690	0.1587253384	0.9527916478
691	0.1585896359	0.9532455742
692	0.1584194124	0.9527916478
693	0.158148894	0.9523377213
694	0.1580488965	0.9523377213
695	0.1578877138	0.9523377213
696	0.1576565377	0.9523377213
697	0.1574951826	0.9523377213
698	0.1574455555	0.9523377213
699	0.157332484	0.9523377213
700	0.1571759223	0.9523377213
701	0.1569538421	0.9527916478
702	0.1568507903	0.9527916478
703	0.1566939422	0.9527916478
704	0.1566293588	0.9527916478
705	0.156365942	0.9527916478
706	0.1563020818	0.9527916478
707	0.1561799715	0.9527916478
708	0.156007316	0.9532455742
709	0.155816042	0.9536995007
710	0.1556342446	0.9532455742
711	0.1554933404	0.9532455742
712	0.1553187844	0.9532455742
713	0.1551218516	0.9532455742
714	0.1551121124	0.9532455742
715	0.1550061922	0.9541534271
716	0.1547998239	0.9541534271
717	0.1546672541	0.9541534271
718	0.1545509093	0.9541534271
719	0.1544988394	0.9541534271
720	0.1542448019	0.9541534271
721	0.1541054532	0.9541534271
722	0.1538817976	0.9541534271
723	0.1537138876	0.9541534271
724	0.1535244315	0.9541534271
725	0.1533820146	0.9546073536
726	0.1531660542	0.9550612801
727	0.152958625	0.9550612801
728	0.152853856	0.9550612801
729	0.1526890772	0.9550612801
730	0.1525424777	0.9555152065
731	0.1524531397	0.9555152065
732	0.1522546721	0.9555152065
733	0.1520641248	0.9555152065
734	0.1519412439	0.9555152065
735	0.1519358732	0.9555152065
736	0.1518848203	0.9555152065
737	0.1518058612	0.9555152065
738	0.1517006603	0.9555152065
739	0.151618177	0.9555152065
740	0.1513294151	0.9555152065
741	0.1511694827	0.9555152065
742	0.1510242186	0.9555152065
743	0.1508138303	0.9555152065
744	0.1507536863	0.9555152065
745	0.1505881697	0.9555152065
746	0.1504948047	0.9555152065
747	0.1503291929	0.9555152065
748	0.1502007242	0.9555152065
749	0.1500783254	0.9555152065
750	0.1500741206	0.9555152065
751	0.1499601734	0.955969133
752	0.1498112189	0.955969133
753	0.1496302359	0.955969133
754	0.1495556835	0.955969133
755	0.1494415983	0.955969133
756	0.1492607551	0.9573309124
757	0.1491013287	0.9568769859
758	0.1488521019	0.9564230595
759	0.1487557563	0.9564230595
760	0.1486526639	0.9564230595
